，,74921,6.6807%
的,54487,4.8586%
。,35983,3.2086%
、,23116,2.0613%
在,12024,1.0722%
了,11557,1.0305%
和,10919,0.9737%
是,9847,0.8781%
“,7970,0.7107%
”,7943,0.7083%
一,7335,0.6541%
为,4741,0.4228%
有,4641,0.4138%
不,4532,0.4041%
（,4316,0.3849%
）,4316,0.3849%
对,3800,0.3388%
上,3800,0.3388%
中,3699,0.3298%
中国,3359,0.2995%
：,3258,0.2905%
发展,3215,0.2867%
这,3198,0.2852%
要,2936,0.2618%
多,2918,0.2602%
与,2904,0.2590%
到,2837,0.2530%
他,2825,0.2519%
也,2800,0.2497%
等,2775,0.2474%
人,2711,0.2417%
经济,2657,0.2369%
；,2636,0.2351%
个,2633,0.2348%
就,2590,0.2310%
说,2557,0.2280%
年,2516,0.2244%
地,2417,0.2155%
工作,2412,0.2151%
将,2410,0.2149%
以,2362,0.2106%
企业,2329,0.2077%
新,2259,0.2014%
大,2250,0.2006%
记者,2143,0.1911%
国家,2046,0.1824%
从,2034,0.1814%
我们,2027,0.1807%
两,1955,0.1743%
《,1940,0.1730%
》,1940,0.1730%
都,1908,0.1701%
一个,1889,0.1684%
我,1802,0.1607%
１月,1781,0.1588%
建设,1744,0.1555%
问题,1712,0.1527%
着,1686,0.1503%
来,1620,0.1445%
市场,1614,0.1439%
已,1609,0.1435%
全国,1593,0.1420%
人民,1579,0.1408%
并,1573,0.1403%
还,1567,0.1397%
把,1563,0.1394%
元,1544,0.1377%
而,1516,0.1352%
本报,1467,0.1308%
能,1442,0.1286%
后,1436,0.1280%
北京,1377,0.1228%
他们,1354,0.1207%
向,1341,0.1196%
进行,1319,0.1176%
又,1319,0.1176%
使,1317,0.1174%
李,1306,0.1165%
好,1305,0.1164%
下,1300,0.1159%
改革,1282,0.1143%
出,1235,0.1101%
电,1232,0.1099%
张,1226,0.1093%
政府,1225,0.1092%
于,1223,0.1091%
但,1208,0.1077%
社会,1202,0.1072%
我国,1193,0.1064%
地区,1190,0.1061%
美国,1181,0.1053%
新华社,1177,0.1050%
时,1170,0.1043%
由,1169,0.1042%
公司,1157,0.1032%
世界,1154,0.1029%
之,1146,0.1022%
领导,1134,0.1011%
管理,1110,0.0990%
三,1104,0.0984%
次,1087,0.0969%
更,1069,0.0953%
最,1064,0.0949%
关系,1049,0.0935%
活动,1048,0.0935%
高,1045,0.0932%
王,1014,0.0904%
国际,1008,0.0899%
据,1008,0.0899%
群众,983,0.0877%
名,974,0.0869%
重要,969,0.0864%
被,957,0.0853%
副,954,0.0851%
起,946,0.0844%
提高,943,0.0841%
技术,938,0.0836%
自己,932,0.0831%
没有,931,0.0830%
干部,930,0.0829%
部门,924,0.0824%
很,912,0.0813%
一些,910,0.0811%
所,904,0.0806%
给,897,0.0800%
职工,893,0.0796%
里,890,0.0794%
文化,888,0.0792%
会,885,0.0789%
生产,883,0.0787%
同志,878,0.0783%
去年,874,0.0779%
金融,867,0.0773%
今天,866,0.0772%
种,853,0.0761%
得,850,0.0758%
加强,844,0.0753%
其,840,0.0749%
家,835,0.0745%
位,835,0.0745%
会议,834,0.0744%
过,830,0.0740%
组织,830,0.0740%
们,829,0.0739%
第一,826,0.0737%
方面,814,0.0726%
国,804,0.0717%
党,795,0.0709%
有关,787,0.0702%
生活,785,0.0700%
几,780,0.0696%
产品,779,0.0695%
人员,776,0.0692%
用,772,0.0688%
？,771,0.0688%
研究,770,0.0687%
１９９７年,753,0.0671%
报道,753,0.0671%
前,752,0.0671%
刘,751,0.0670%
主要,751,0.0670%
增长,750,0.0669%
服务,747,0.0666%
合作,743,0.0663%
通过,734,0.0655%
科技,732,0.0653%
社会主义,718,0.0640%
解决,716,0.0638%
工程,714,0.0637%
农业,709,0.0632%
要求,705,0.0629%
表示,704,0.0628%
可以,702,0.0626%
目前,700,0.0624%
讯,700,0.0624%
『,698,0.0622%
』,698,0.0622%
中央,690,0.0615%
各,689,0.0614%
实现,689,0.0614%
精神,686,0.0612%
历史,683,0.0609%
及,680,0.0606%
同时,680,0.0606%
银行,679,0.0605%
教育,678,0.0605%
或,672,0.0599%
农村,668,0.0596%
成为,666,0.0594%
！,665,0.0593%
它,663,0.0591%
政策,663,0.0591%
举行,662,0.0590%
达,654,0.0583%
认为,654,0.0583%
这些,652,0.0581%
条,650,0.0580%
美元,647,0.0577%
她,646,0.0576%
主席,638,0.0569%
可,634,0.0565%
水平,628,0.0560%
这个,628,0.0560%
农民,627,0.0559%
图片,623,0.0556%
单位,621,0.0554%
同,617,0.0550%
情况,615,0.0548%
陈,614,0.0548%
建立,611,0.0545%
再,611,0.0545%
看,605,0.0539%
只,603,0.0538%
江,602,0.0537%
１,599,0.0534%
积极,598,0.0533%
应,592,0.0528%
提出,591,0.0527%
天,591,0.0527%
去,590,0.0526%
钱,583,0.0520%
人们,583,0.0520%
取得,582,0.0519%
小,582,0.0519%
投资,580,0.0517%
项,576,0.0514%
进一步,572,0.0510%
民族,571,0.0509%
你,571,0.0509%
继续,567,0.0506%
周,567,0.0506%
近,566,0.0505%
走,564,0.0503%
今年,562,0.0501%
至,562,0.0501%
必须,559,0.0498%
产业,559,0.0498%
基础,555,0.0495%
作为,555,0.0495%
香港,554,0.0494%
参加,552,0.0492%
开始,550,0.0490%
稳定,547,0.0488%
做,542,0.0483%
影响,539,0.0481%
此,536,0.0478%
制度,535,0.0477%
经营,533,0.0475%
困难,530,0.0473%
需要,529,0.0472%
开展,525,0.0468%
政治,525,0.0468%
内,524,0.0467%
女,524,0.0467%
特别,524,0.0467%
